"URI"	"scientificName"	"is_current"
"http://florabase.dec.wa.gov.au/browse/profile/1"	"Psilotum nudum (L.) P.Beauv."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/2"	"Lycopodium cernuum L."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/3"	"Lycopodium serpentinum Kunze"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/4"	"Phylloglossum drummondii Kunze"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/5"	"Selaginella ciliaris (Retz.) Spring"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/6"	"Selaginella gracillima (Kunze) Salomon"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/7"	"Isoetes australis S.Williams"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/8"	"Isoetes brevicula E.R.L.Johnson"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/9"	"Isoetes caroli E.R.L.Johnson"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/10"	"Isoetes coromandelina L.f."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/11"	"Isoetes drummondii A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/12"	"Isoetes inflata E.R.L.Johnson"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/13"	"Isoetes mongerensis E.R.L.Johnson"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/14"	"Isoetes muelleri A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/15"	"Isoetes tripus A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/16"	"Helminthostachys zeylanica (L.) Kaulf."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/17"	"Ophioglossum lusitanicum L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/18"	"Ophioglossum polyphyllum A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/19"	"Lygodium flexuosum (L.) Sw."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/20"	"Lygodium japonicum (Thunb.) Sw."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/21"	"Lygodium microphyllum (Cav.) R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/22"	"Schizaea dichotoma (L.) Sm."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/23"	"Schizaea digitata (L.) Sw."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/24"	"Schizaea fistulosa Labill."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/25"	"Adiantum aethiopicum L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/26"	"Adiantum capillus-veneris L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/27"	"Adiantum hispidulum Sw."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/28"	"Adiantum philippense L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/29"	"Anogramma leptophylla (L.) Link"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/30"	"Ceratopteris thalictroides (L.) Brongn."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/31"	"Cheilanthes austrotenuifolia H.M.Quirk & T.C.Chambers"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/32"	"Cheilanthes brownii (Kuhn) Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/33"	"Cheilanthes contigua Baker"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/34"	"Cheilanthes distans (R.Br.) Mett."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/35"	"Cheilanthes cavernicola D.L.Jones"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/36"	"Cheilanthes hirsuta (Poir.) Mett."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/37"	"Cheilanthes lasiophylla Pic.Serm."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/38"	"Cheilanthes pinnatifida D.L.Jones"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/39"	"Cheilanthes pseudovellea (H.M.Quirk & T.C.Chambers) D.L.Jones"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/40"	"Cheilanthes pumilio (R.Br.) F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/41"	"Cheilanthes sieberi Kunze"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/42"	"Doryopteris concolor (Langsd. & Fisch.) Kuhn"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/43"	"Paraceterach reynoldsii (F.Muell.) Tindale"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/44"	"Acrostichum speciosum Willd."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/45"	"Pteris vittata L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/46"	"Dicranopteris linearis (Burm.f.) Underw."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/47"	"Platyzoma microphyllum R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/48"	"Drynaria quercifolia (L.) J.Sm."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/49"	"Microsorum scolopendria (Burm.f.) Copel."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/50"	"Stenochlaena palustris (Burm.f.) Bedd."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/51"	"Cyathea cooperi (F.Muell.) Domin"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/52"	"Ampelopteris prolifera (Retz.) Copel."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/53"	"Christella dentata (Forssk.) Brownsey & Jermy"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/54"	"Cyclosorus interruptus (Willd.) H.Ito"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/55"	"Hypolepis rugulosa (Labill.) J.Sm."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/56"	"Microlepia speluncae (L.) Moore"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/57"	"Pteridium esculentum (G.Forst.) Cockayne"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/58"	"Lindsaea ensifolia Sw."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/59"	"Lindsaea linearis Sw."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/60"	"Lindsaea orbiculata (Lam.) Kuhn."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/61"	"Asplenium aethiopicum (Burm.f.) Bech."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/62"	"Asplenium flabellifolium Cav."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/63"	"Asplenium obtusatum G.Forst."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/64"	"Asplenium trichomanes L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/65"	"Pleurosorus rutifolius (R.Br.) Fee"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/66"	"Pleurosorus subglandulosus (Hook. & Grev.) Tindale"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/67"	"Nephrolepis arida D.L.Jones"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/68"	"Nephrolepis biserrata (Sw.) Schott"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/69"	"Nephrolepis hirsutula (G.Forst.) C.Presl"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/70"	"Nephrolepis obliterata (R.Br.) J.Sm."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/71"	"Blechnum indicum Burm.f."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/72"	"Blechnum orientale L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/73"	"Marsilea angustifolia R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/74"	"Marsilea drummondii A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/75"	"Marsilea exarata A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/76"	"Marsilea hirsuta R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/77"	"Marsilea mutica Mett."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/78"	"Pilularia novae-hollandiae A.Braun"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/79"	"Salvinia molesta D.S.Mitch."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/80"	"Azolla filiculoides Lam."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/81"	"Cycas armstrongii Miq."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/82"	"Cycas basaltica C.A.Gardner"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/83"	"Cycas furfuracea W.Fitzg."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/84"	"Cycas pruinosa Maconochie"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/85"	"Macrozamia riedlei (Gaudich.) C.A.Gardner"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/86"	"Podocarpus drouynianus F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/87"	"Pinus pinaster Aiton"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/88"	"Pinus radiata D.Don"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/89"	"Actinostrobus acuminatus Parl."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/90"	"Actinostrobus arenarius C.A.Gardner"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/91"	"Actinostrobus pyramidalis Miq."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/92"	"Callitris canescens (Parl.) S.T.Blake"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/93"	"Callitris drummondii (Parl.) F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/94"	"Callitris glaucophylla Joy Thomps. & L.A.S.Johnson"	"N"
"http://florabase.dec.wa.gov.au/browse/profile/95"	"Callitris intratropica R.T.Baker & H.G.Sm."	"N"
"http://florabase.dec.wa.gov.au/browse/profile/96"	"Callitris preissii Miq."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/97"	"Callitris roei (Endl.) F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/98"	"Typha domingensis Pers."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/99"	"Typha orientalis C.Presl"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/100"	"Pandanus aquaticus F.Muell."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/101"	"Pandanus darwinensis H.St.John"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/102"	"Pandanus rheophilus B.C.Stone"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/103"	"Pandanus semiarmatus H.St.John"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/104"	"Pandanus spiralis R.Br."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/105"	"Posidonia coriacea Cambridge & J.Kuo"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/106"	"Posidonia denhartogii J.Kuo & Cambridge"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/107"	"Posidonia kirkmanii J.Kuo & Cambridge"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/108"	"Posidonia robertsoniae J.Kuo & Cambridge"	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/109"	"Potamogeton crispus L."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/110"	"Potamogeton drummondii Benth."	"Y"
"http://florabase.dec.wa.gov.au/browse/profile/111"	"Potamogeton ochreatus Raoul"	"Y"
